,Unnamed: 0,Title,Date,Category,Link
38,38,Justice Department Files False Claims Act Complaint Against Priority Hospital Group and Three Long Term Care Hospitals,2026-01-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/justice-department-files-false-claims-act-complaint-against-priority-hospital-group-and-three-long-term-care-hospitals/
39,39,Four Hudson County Pharmacies Pay $4.3 Million To Resolve False Claims Act Allegations of Billing for Drugs Not Dispensed,2026-01-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-hudson-county-pharmacies-pay-43-million-to-resolve-false-claims-act-allegations-of-billing-for-drugs-not-dispensed/
40,40,Health Care Executive Pleads Guilty to Kickback Scheme in Vermont,2026-01-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/health-care-executive-pleads-guilty-to-kickback-scheme-in-vermont/
43,43,Defense Contractor President Sentenced to 48 Months in Bribery Scheme,2026-01-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/defense-contractor-president-sentenced-to-48-months-in-bribery-scheme/
45,45,Five Ophthalmology Practices Agree to Pay Nearly $6M to Resolve Allegations of Fraudulent Claims to Medicare and Medicaid for Cranial Ultrasounds,2026-01-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/five-ophthalmology-practices-agree-to-pay-nearly-6m-to-resolve-allegations-of-fraudulent-claims-to-medicare-and-medicaid-for-cranial-ultrasounds/
46,46,Honduran Man and Kansas Woman Indicted for Fraudulently Obtaining Custody of an Unaccompanied Alien Child,2026-01-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/honduran-man-and-kansas-woman-indicted-for-fraudulently-obtaining-custody-of-an-unaccompanied-alien-child/
47,47,Two Individuals Plead Guilty to $68 Million Adult Day Care Fraud Scheme,2026-01-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-individuals-plead-guilty-to-68-million-adult-day-care-fraud-scheme/
51,51,Kinston Woman Sentenced To 6 Years In Federal Prison And Ordered To Repay Over $15 Million In Restitution For Health Care Fraud,2026-01-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kinston-woman-sentenced-to-6-years-in-federal-prison-and-ordered-to-repay-over-15-million-in-restitution-for-health-care-fraud/
52,52,Ohio Doctor Sentenced to Prison for $14 Million Health Care Fraud Scheme,2026-01-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ohio-doctor-sentenced-to-prison-for-14-million-health-care-fraud-scheme/
53,53,Kaiser Permanente Affiliates Pay $556 Million to Resolve False Claims Act Allegations,2026-01-14,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/kaiser-permanente-affiliates-pay-556-million-to-resolve-false-claims-act-allegations/
59,59,Prison Time For Healthcare Employees In Multimillion Dollar Adult Daycare Fraud Scheme,2026-01-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prison-time-for-healthcare-employees-in-multimillion-dollar-adult-daycare-fraud-scheme/
60,60,Prison Time For Health Care Employees In Multimillion Dollar Adult Daycare Fraud Scheme,2026-01-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/prison-time-for-health-care-employees-in-multimillion-dollar-adult-daycare-fraud-scheme/
61,61,Atlantic Biologicals Corporation Enters into Deferred Prosecution Agreement in Opioid Distribution Scheme,2026-01-13,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/atlantic-biologicals-corporation-enters-into-deferred-prosecution-agreement-in-opioid-distribution-scheme/
64,64,Non-Profit Executive Convicted of Theft of Federal Funds,2026-01-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/non-profit-executive-convicted-of-theft-of-federal-funds/
65,65,"DOJ and Seattle-based FidaLab, LLC settle allegations it inflated bills to government health care programs",2026-01-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doj-and-seattle-based-fidalab-llc-settle-allegations-it-inflated-bills-to-government-health-care-programs/
68,68,Portland Woman Pleads Guilty to Abusive Sexual Contact,2026-01-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/portland-woman-pleads-guilty-to-abusive-sexual-contact/
69,69,"Pain Clinic Owner Sentenced, L5 Medical Holdings to Pay Nearly $5 Million in Restitution",2026-01-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pain-clinic-owner-sentenced-l5-medical-holdings-to-pay-nearly-5-million-in-restitution/
74,74,Indiana Woman Sentenced to 84 Months in Prison,2026-01-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/indiana-woman-sentenced-to-84-months-in-prison/
75,75,Federal Jury finds Memphis Physician Guilty of Adulterated and Misbranded Medical Devices and Health Care Fraud,2026-01-08,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-finds-memphis-physician-guilty-of-adulterated-and-misbranded-medical-devices-and-health-care-fraud/
76,76,New Jersey Doctor Charged in 58-Count Indictment with Distributing Opioids in Exchange for Sexual Favors and Defrauding New Jersey Medicaid,2026-01-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-doctor-charged-in-58-count-indictment-with-distributing-opioids-in-exchange-for-sexual-favors-and-defrauding-new-jersey-medicaid/
77,77,Two Health Care Executives Convicted for Exploiting Elderly Medicare Advantage Beneficiaries in $34 Million Fraud Scheme,2026-01-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-healthcare-executives-convicted-for-exploiting-elderly-medicare-advantage-beneficiaries-in-34-million-fraud-scheme/
78,78,South Carolina Laboratory Pleads Guilty and Agrees to Pay At Least $6.8 Million to Settle Allegations of Kickbacks to Doctors,2026-01-07,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/south-carolina-laboratory-pleads-guilty-and-agrees-to-pay-at-least-68-million-to-settle-allegations-of-kickbacks-to-doctors/
80,80,Former Doctor Sentenced for Stealing Identity to Apply for Medical Jobs,2026-01-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-doctor-sentenced-for-stealing-identity-to-apply-for-medical-jobs/
88,88,U.S. Attorney Announces $6.8 Million Settlement With New York-Presbyterian Hudson Valley Hospital For Paying Kickbacks To A Westchester Oncology Practice In Order To Obtain Referrals,2025-12-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-68-million-settlement-with-new-york-presbyterian-hudson-valley-hospital-for-paying-kickbacks-to-a-westchester-oncology-practice-in-order-to-obtain-referrals/
89,89,CEO of Health Care Software Company Sentenced for $1 Billion Fraud Conspiracy,2025-12-22,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/ceo-of-health-care-software-company-sentenced-for-1-billion-fraud-conspiracy/
92,92,Former New York Doctor Sentenced for Receiving Kickbacks,2025-12-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-new-york-doctor-sentenced-for-receiving-kickbacks-1/
93,93,New Jersey Business Owner Sentenced to 87 Months for $172 Million Fraud and Money Laundering Scheme,2025-12-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-business-owner-sentenced-to-87-months-for-172-million-fraud-and-money-laundering-scheme/
96,96,"Six Additional Defendants Charged, One Defendant Pleads Guilty in Ongoing Fraud Schemes",2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/six-additional-defendants-charged-one-defendant-pleads-guilty-in-ongoing-fraud-schemes/
97,97,Connecticut Man Sentenced to 30 Months’ Imprisonment for Role in $7.8 Million Health Care Fraud and Kickback Scheme,2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-man-sentenced-to-30-months-imprisonment-for-role-in-78-million-health-care-fraud-and-kickback-scheme/
98,98,Florida Man Pleads Guilty to Health Care Fraud and Kickback Conspiracy,2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-pleads-guilty-to-health-care-fraud-and-kickback-conspiracy/
99,99,Two Pharmacists Sentenced to Years in Prison for Illegal Distribution of Oxycodone,2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-pharmacists-sentenced-to-years-in-prison-for-illegal-distribution-of-oxycodone/
100,100,Local Physician Pleads Guilty to Adulterating and Misbranding Medical Devices with the Intent to Defraud,2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/local-physician-pleads-guilty-to-adulterating-and-misbranding-medical-devices-with-the-intent-to-defraud/
101,101,"Austin Pain Management Doctor and Pain Medicine Practice to Pay $13,625,000 to Settle Civil False Claims Act Allegations",2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/austin-pain-management-doctor-and-pain-medicine-practice-to-pay-13625000-to-settle-civil-false-claims-act-allegations/
102,102,Doctor Indicted for Orchestrating $45 Million Botox Fraud Scheme Targeting Medicare,2025-12-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-indicted-for-orchestrating-45m-botox-fraud-scheme-targeting-medicare/
111,111,Digital Health Company and Medical Practice Indicted in $100 Million Adderall Distribution Scheme,2025-12-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/digital-health-company-and-medical-practice-indicted-in-100m-adderall-distribution-scheme/
113,113,"RST-Sanexas, Inc. and Its Owners Agree to Pay $1.5 Million to Resolve Allegations That They Caused False Claims and Accepted and Paid Illegal Kickbacks",2025-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/rst-sanexas-inc-and-its-owners-agree-to-pay-15-million-to-resolve-allegations-that-they-caused-false-claims-and-accepted-and-paid-illegal-kickbacks/
114,114,Dana-Farber Cancer Institute Agrees to Pay $15 Million to Settle Fraud Allegations Related to Scientific Research Grants,2025-12-16,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/dana-farber-cancer-institute-agrees-to-pay-15m-to-settle-fraud-allegations-related-to-scientific-research-grants/
119,119,Medical Biller Charged with Diverting Opioids and Federal Health Care Fraud,2025-12-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-biller-charged-with-diverting-opioids-and-federal-health-care-fraud/
120,120,"Medical Software Company Agrees to Pay $500,000 to Resolve Allegations of Causing Medically Unnecessary Breast Cancer Screening Claims",2025-12-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/medical-software-company-agrees-to-pay-500000-to-resolve-allegations-of-causing-medically-unnecessary-breast-cancer-screening-claims/
121,121,Federal Jury Convicts North Chesterfield Man For Billing Medicaid For Services He Did Not Provide,2025-12-15,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/federal-jury-convicts-north-chesterfield-man-for-billing-medicaid-for-services-he-did-not-provide/
122,122,Former New York Doctor Sentenced for Receiving Kickbacks,2025-12-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-new-york-doctor-sentenced-for-receiving-kickbacks/
123,123,Doctor Sentenced to Seven Years in Prison for $24 Million Medicare Fraud,2025-12-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/doctor-sentenced-to-seven-years-in-prison-for-24m-medicare-fraud/
124,124,Missouri Man Sentenced to 10 Years in Prison for $174 Million Health Care Fraud Conspiracy,2025-12-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-man-sentenced-to-10-years-in-prison-for-174m-health-care-fraud-conspiracy/
125,125,Pharmacist Sentenced to Over Six Years in Prison for $6 Million Health Care Fraud Scheme,2025-12-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-sentenced-to-over-six-years-in-prison-for-6m-health-care-fraud-scheme/
126,126,Wound Graft Company Owners Sentenced for $1.2 Billion Health Care Fraud and Agree to Pay $309 Million to Resolve Civil Liability Under the False Claims Act,2025-12-12,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/wound-graft-company-owners-sentenced-for-12b-health-care-fraud-and-agree-to-pay-309m-to-resolve-civil-liability-under-the-false-claims-act/
131,131,Canton Man Sentenced for Multi-Million-Dollar Health Care Fraud Scheme,2025-12-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/canton-man-sentenced-for-multi-million-dollar-health-care-fraud-scheme/
132,132,Former St. Louis Area Pediatrician Admits Exchanging Prescriptions for Sex Acts,2025-12-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/former-st-louis-area-pediatrician-admits-exchanging-prescriptions-for-sex-acts/
133,133,Owner Of Physical Rehabilitation Company Pleads Guilty To Submitting More Than $20 Million In Fraudulent Medical Bills To Health Benefit Programs,2025-12-11,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owner-of-physical-rehabilitation-company-pleads-guilty-to-submitting-more-than-20-million-in-fraudulent-medical-bills-to-health-benefit-programs/
136,136,"Telehealth Company Agrees to Pay $300,000 to Resolve False Claims Act Allegations",2025-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/telehealth-company-agrees-to-pay-300000-to-resolve-false-claims-act-allegations/
137,137,Canton Man Sentenced to more than 3 Years in Federal Prison for Wire Fraud and Money Laundering,2025-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/canton-man-sentenced-to-more-than-3-years-in-federal-prison-for-wire-fraud-and-money-laundering/
138,138,Recovery Centers of America Agrees to Pay $2 Million to Resolve Allegations That It Violated the Controlled Substances Act and the False Claims Act by Mishandling Controlled Substances and Providing Inadequate Treatment Services,2025-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/recovery-centers-of-america-agrees-to-pay-2-million-to-resolve-allegations-that-it-violated-the-controlled-substances-act-and-the-false-claims-act-by-mishandling-controlled-substances-and-providing-inadequate-treatment-services/
139,139,"Spokane Physician Pays $120,000 to Resolve Allegations He Prescribed Controlled Substances Without Legitimate Medical Purpose",2025-12-10,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/spokane-physician-pays-120000-to-resolve-allegations-he-prescribed-controlled-substances-without-legitimate-medical-purpose/
143,143,"Honduras Citizen Sentenced to Prison for Fourth Illegal Reentry into the U.S., Social Security Fraud, and Identity Theft",2025-12-09,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/honduras-citizen-sentenced-to-prison-for-fourth-illegal-reentry-into-the-us-social-security-fraud-and-identity-theft/
150,150,Two Miami Men Sentenced to Nearly Five Years in Prison for $28 Million Scheme Involving Diverted Pharmaceuticals,2025-12-05,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-miami-men-sentenced-to-nearly-five-years-in-prison-for-28-million-scheme-involving-diverted-pharmaceuticals/
152,152,"Virginia Laboratory to Pay $758,000 to Settle Allegations of Kickbacks to Doctors and Marketers",2025-12-04,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/virginia-laboratory-to-pay-758000-to-settle-allegations-of-kickbacks-to-doctors-and-marketers/
156,156,Texas Man Charged with Conspiracy to Obtain Controlled Substances by Fraud,2025-12-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/texas-man-charged-with-conspiracy-to-obtain-controlled-substances-by-fraud/
157,157,Two Virginia Men Arrested for Conspiring to Destroy Government Databases,2025-12-03,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/two-virginia-men-arrested-for-conspiring-to-destroy-government-databases/
159,159,Largest North Carolina Behavioral Health Practice Agrees to Pay $1.9 Million to Resolve Allegedly False Medicare Claims,2025-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/largest-north-carolina-behavioral-health-practice-agrees-to-pay-19-million-to-resolve-allegedly-false-medicare-claims/
160,160,U.S. Attorney Announces $37.76 Million Settlement With CVS For Over-Dispensing Insulin Pens To Patients,2025-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-announces-3776-million-settlement-with-cvs-for-over-dispensing-insulin-pens-to-patients/
161,161,Georgia Man Sentenced for $24M Kickback and Medicare Fraud Conspiracy,2025-12-02,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/georgia-man-sentenced-for-24m-kickback-and-medicare-fraud-conspiracy/
164,164,"Nurse Practitioner Sentenced to 18 Months and Ordered to Pay over $160,000 in Restitution for Health Care Fraud and Unlawful Drug Distribution",2025-12-01,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/nurse-practitioner-sentenced-to-18-months-and-ordered-to-pay-over-160000-in-restitution-for-health-care-fraud-and-unlawful-drug-distribution/
168,168,Three Former Executives for Magellan Diagnostics Sentenced for False Statements and FDCA Violations,2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/three-former-executives-for-magellan-diagnostics-sentenced-for-false-statements-and-fdca-violations/
169,169,New Jersey Pharmacy Owner Pleads Guilty to Health Care Fraud Scheme Involving Billing Medicare for Undispensed Medication,2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/new-jersey-pharmacy-owner-pleads-guilty-to-health-care-fraud-scheme-involving-billing-medicare-for-undispensed-medication/
170,170,"Missouri Home Health Care Company Agrees to Pay $534,475 False Claims Act Settlement",2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-home-health-care-company-agrees-to-pay-534475-false-claims-act-settlement/
171,171,"Southern Colorado Hospital and Doctors Agree to Pay $650,000 to Resolve Allegations That They Unlawfully Prescribed Opioids and Other Controlled Substances",2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/southern-colorado-hospital-and-doctors-agree-to-pay-650000-to-resolve-allegations-that-they-unlawfully-prescribed-opioids-and-other-controlled-substances/
172,172,Indiana Laboratory Company Agrees to Pay More Than $9 Million to Settle Alleged False Claims Act Violations,2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/indiana-laboratory-company-agrees-to-pay-more-than-9-million-to-settle-alleged-false-claims-act-violations/
173,173,Michigan Pharmacist Sentenced to 46 Months in Prison for $4M Health Care Fraud Scheme,2025-11-24,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/michigan-pharmacist-sentenced-to-46-months-in-prison-for-4m-health-care-fraud-scheme/
174,174,Pharmacist and Brother Sentenced to Prison for $15M Health Care and Wire Fraud Scheme,2025-11-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/pharmacist-and-brother-sentenced-to-prison-for-15m-health-care-and-wire-fraud-scheme/
175,175,U.S. Attorney Zachary A. Keller Highlights a Dozen Significant Prosecutions During Government Shutdown,2025-11-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/us-attorney-zachary-a-keller-highlights-a-dozen-significant-prosecutions-during-government-shutdown/
176,176,U.K. Citizen Indicted for $2.7M Telehealth Scheme,2025-11-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/uk-citizen-indicted-for-27m-telehealth-scheme/
177,177,Vohra Wound Physicians and its Owner Agree to Pay $45M to Settle Fraud Allegations of Overbilling for Wound Care Services,2025-11-21,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/vohra-wound-physicians-and-its-owner-agree-to-pay-45m-to-settle-fraud-allegations-of-overbilling-for-wound-care-services/
182,182,Physician Convicted of Conspiracy to Defraud Medicare,2025-11-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/physician-convicted-of-conspiracy-to-defraud-medicare/
183,183,Mississippi Businessman Pleads Guilty to $19M Health Care Fraud Conspiracy,2025-11-20,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/mississippi-businessman-pleads-guilty-to-19m-health-care-fraud-conspiracy/
186,186,Connecticut Dentists Pay More than $714K to Settle False Claims Allegations,2025-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/connecticut-dentists-pay-more-than-714k-to-settle-false-claims-allegations/
187,187,Little Rock Psychologist Indicted by Federal Grand Jury for Defrauding Medicare and Arkansas Blue Cross Blue Shield,2025-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/little-rock-psychologist-indicted-by-federal-grand-jury-for-defrauding-medicare-and-arkansas-blue-cross-blue-shield/
188,188,Missouri Man Sentenced to 10 Years in Prison for $174 Million Health Care Fraud Conspiracy,2025-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/missouri-man-sentenced-to-10-years-in-prison-for-174-million-health-care-fraud-conspiracy/
189,189,Founder/CEO and Clinical President of Digital Health Company Convicted in $100M Adderall Distribution and Health Care Fraud Scheme,2025-11-19,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/founderceo-and-clinical-president-of-digital-health-company-convicted-in-100m-adderall-distribution-and-health-care-fraud-scheme/
192,192,"Florida Man Indicted for Health Care Fraud, Wire Fraud in Durable Medical Equipment Scheme",2025-11-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/florida-man-indicted-for-health-care-fraud-wire-fraud-in-durable-medical-equipment-scheme/
193,193,"Memphis Doctor to Pay $375,296.90 to Settle Fraudulent Billing Allegations",2025-11-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/memphis-doctor-to-pay-37529690-to-settle-fraudulent-billing-allegations/
194,194,Corporation and Former Chief Executive Officer Sentenced for Health Care Fraud and Tax Conspiracy,2025-11-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/corporation-and-former-chief-executive-officer-sentenced-for-health-care-fraud-and-tax-conspiracy/
195,195,Four California Residents Sentenced to Prison in Connection with $16M Hospice Fraud and Money Laundering Scheme,2025-11-18,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/four-california-residents-sentenced-to-prison-in-connection-with-16m-hospice-fraud-and-money-laundering-scheme/
202,202,CVS Pharmacy Inc. Pays $18.2 Million to Resolve Alleged False Claims Act Violations,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/cvs-pharmacy-inc-pays-182-million-to-resolve-alleged-false-claims-act-violations/
203,203,Oncologist Sentenced to Prison for Illegally Selling Cancer Drugs,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/oncologist-sentenced-to-prison-for-illegally-selling-cancer-drugs/
204,204,Aesculap Implant Systems Agrees to Pay $38.5 Million to Resolve False Claims Act Allegations Related to Knee Implant Failures,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/aesculap-implant-systems-agrees-to-pay-385-million-to-resolve-false-claims-act-allegations-related-to-knee-implant-failures/
205,205,Coeur d’Alene Physician Found Guilty in Telemarketing Medicare Fraud Conspiracy,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/coeur-dalene-physician-found-guilty-in-telemarketing-medicare-fraud-conspiracy/
206,206,Tri-Cities Urgent Care Clinic Agrees to Pay $2.8 Million to Resolve Claims of Overbilling for Diagnostic Tests,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/tri-cities-urgent-care-clinic-agrees-to-pay-28-million-to-resolve-claims-of-overbilling-for-diagnostic-tests/
207,207,Owners and CEO of Wholesale Pharmaceutical Company Convicted of Distributing More Than $92 Million of Black-Market HIV Drugs,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/owners-and-ceo-of-wholesale-pharmaceutical-company-convicted-of-distributing-more-than-92-million-of-black-market-hiv-drugs/
208,208,President of Insurance Brokerage Firm and CEO of Marketing Company Convicted in $233M Affordable Care Act Enrollment Fraud Scheme,2025-11-17,Criminal and Civil Actions,https://oig.hhs.gov/fraud/enforcement/president-of-insurance-brokerage-firm-and-ceo-of-marketing-company-convicted-in-233m-affordable-care-act-enrollment-fraud-scheme/
